"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"240","72","mock","ruxcilia",7,720896,3,72,0.436551180752841,0.950481068004261,0.548697731711648,0.400647250088778,0.0001504480896983,-3.8226133223092,5.66666666666667,5.33333333333333,7,0.434915715997869
"241","72","near","cilia",4,785823,3,72,0.671046787889894,0.9378358739818,0.763364014542715,0.173833038737731,0.0004185709694866,-3.37823089599012,7.5,7.25,8,0.663209145061929
"242","72","near","cilia",5,358913,4,72,0.282232741639339,0.548539618236174,0.519546519630105,0.0240894032815752,9.68609674600884e-05,-4.01385119747738,10,5.5,5.75,0.263960904174549
"243","72","near","cilia",8,258601,2,72,0.714339851740713,0.891783094419588,0.878975719351433,0.0120223819706807,0.0005205331253819,-3.28355162789636,8.25,8,8,0.701772228258978
"244","72","near","longcilia2",2,2333267,3,72,0.923841120626144,0.942042638069282,0.806773506846837,0.134770688481001,0.0020048322621732,-2.69792195753755,8,8,8,0.901674776182923
"245","72","near","longcilia2",3,60769,5,72,0.03070644572068,0.243150290444141,0.195510869028617,0.0438875084335763,7.10910535417497e-05,-4.14818504964885,32,5,6.66666666666667,0.00914940183317152
"246","72","near","longcilia2",7,2853161,7,72,0.72147488347135,0.912637597387599,0.83132217214521,0.0803403663515659,0.0005618730792775,-3.25036177552445,9.66666666666667,9.33333333333333,9.66666666666667,0.703618547989405
"247","72","near","longcilia2",10,1928813,7,72,0.725879076924513,0.925924908220755,0.803429363033119,0.121582029984244,0.0006260523805394,-3.20338932872642,7.33333333333333,7.33333333333333,7.66666666666667,0.71516678910812
"248","72","near","longcilias",3,3023671,4,72,0.680958014281316,0.812576500551813,0.648222971348404,0.162673782961175,0.0005097640096209,-3.29263082986087,8.66666666666667,8,8.66666666666667,0.652975803253727
"249","72","near","longcilias",4,413166,4,72,0.176120493941902,0.425744131898559,0.380466930967214,0.0421622301931911,8.33906960906461e-05,-4.07888240094397,20.6666666666667,8,8.66666666666667,0.126905408479885
"250","72","near","longcilias",5,904006,7,72,0.469073214115836,0.619009165868368,0.552144565412176,0.0640427165306425,0.00015229826385615,-3.81730504743669,12.6666666666667,11.3333333333333,11.6666666666667,0.428740517208957
"251","72","near","longcilias",6,261631,7,72,0.543838459509768,0.582125206875332,0.541151469053744,0.0393340238733178,0.0003110327234026,-3.50719391693599,11.3333333333333,10.6666666666667,10.6666666666667,0.483956411893086
"252","72","near","longcilias",11,1410243,8,72,0.474348037891342,0.657253395336832,0.55627292601346,0.0979582951306973,0.0001761808089213,-3.75404140031387,9.66666666666667,8,8.66666666666667,0.445286379723211
"253","72","near","longcilias",12,2597915,8,72,0.411540793290004,0.645367150195445,0.590463891235856,0.0522037864980186,0.000151800137246,-3.81872783578472,10.3333333333333,8.66666666666667,9,0.385857120036645
"254","72","near","multicilia",1,3637397,8,72,0.764936299227167,0.910096423348895,0.343703478064121,0.550446651822718,0.0004885452217422,-3.31109523001253,1.33333333333333,1,9,0.751633379584357
"255","72","near","multicilia",2,1740363,8,72,0.506592015573762,0.790701709930629,0.666937874454927,0.120754693130111,0.0002046237204922,-3.68904402320573,10.3333333333333,9.33333333333333,10,0.487527602000272
"256","72","near","multicilia",6,1827377,7,72,0.565427385810372,0.799152555821815,0.74337862411533,0.053887074205268,0.0002474557550158,-3.60650244145864,8.66666666666667,7.33333333333333,7.66666666666667,0.540814511729107
"257","72","near","multicilia",7,3392152,7,72,0.94993237331346,0.93545513290678,0.634669378023155,0.2940956065648,0.0010356319835409,-2.98479454566394,11.3333333333333,11,12,0.896135550529575
